"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1873.33355417794/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xbf1914b384ed17fbedd3897d21c2e47d12c7e4c64a1613e80e5475e1b1e4d422","16674350","1676951819","2023-02-21 03:56:59","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000060635636","0","0.00000011359077149772","0.003201223231630368","5.99695889422711","1659.64","","","0x251d5b9c"
"0x29355cf5d6f07333678b0dc3a0a312187313d3f6649eb1887a69c4f08cb7d7d0","16674350","1676951819","2023-02-21 03:56:59","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000066780415","0","0.000000125101992181428","0.02317457927288485","43.4137169558518","1659.64","","","0x613d5b9c"
"0xf9fe47ba2a89fbf27d6faffe85cc5e8c31bac72740d2baff752ceb7a78aee8f8","16674397","1676952383","2023-02-21 04:06:23","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000024258409","0","0.0000000454440915506721","0.001893599049559812","3.54734263769985","1659.64","","","0x25194788"
"0x35804a478a580a6d29ea3126d30af96614fe95bacd57794cc4a0f0cf181c75c6","16674397","1676952383","2023-02-21 04:06:23","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000026528653","0","0.0000000496970158120433","0.00785118671994432","14.7078915225879","1659.64","","","0x61394788"
"0xea7da7d1d669d1f664a9faf6cc4902b9c87d36a2782ebab94653f39e5c1b2f71","16674408","1676952527","2023-02-21 04:08:47","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000256279473","0","0.000000480096936017939","0.002317759616936456","4.34193686092567","1659.64","","","0x251b1533"
"0x34daaa3f8e28f98b54d36942148e76fa52acd8d0e56c3a85a91c45a0528f0c70","16674408","1676952527","2023-02-21 04:08:47","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000259958731","0","0.000000486989413483817","0.01347506079255032","25.2432835272721","1659.64","","","0x613b1533"
"0x862edae3b83843b25ce0a14268d94cfa7c6c6c13fcc802fd46943d95b99ea817","16674411","1676952563","2023-02-21 04:09:23","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000048651623","0","0.0000000911407178311152","0.002110637057589228","3.9539272206733","1659.64","","","0x25194788"
"0xcbf1e3e5b88f5bd030abd6048f48805b06d36c61c748e91ecd800680359ee633","16674411","1676952563","2023-02-21 04:09:23","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000050523346","0","0.0000000946470793311418","0.00592353837524352","11.0967631978044","1659.64","","","0x61394788"
"0x25320b23066f0c4771bf2d06d6a1a60a6c5c961cd824b24a2a85f65a91894077","16674421","1676952683","2023-02-21 04:11:23","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000084951429","0","0.000000159142362421065","0.00226348644052839","4.24026509846862","1659.64","","","0x25194788"
"0x32d2d7e407d420396d4f7e1399562904e7461e4d820e3ccc27026e984a290671","16674421","1676952683","2023-02-21 04:11:23","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000088277512","0","0.000000165373225308946","0.0120133718972544","22.505052673945","1659.64","","","0x61394788"
